None,None,ACCT,405,003,COL,3.000,NULL,Financial Accounting II,MW,08:05 am-09:20 am,44,23,21,Natalia Monakhova Scott,01/09-04/24,DMSB 124,
None,None,ACCT,406,001,COL,3.000,NULL,Auditing I,TR,10:05 am-11:20 am,44,39,5,Jared Weston Jones,01/09-04/24,DMSB 103,
None,None,ACCT,406,002,COL,3.000,NULL,Auditing I,TR,11:40 am-12:55 pm,44,41,3,Jared Weston Jones,01/09-04/24,DMSB 103,
None,None,ACCT,501,001,COL,3.000,NULL,Financial Accounting III,TR,08:30 am-09:45 am,30,30,0,Ling Harris,01/09-04/24,DMSB 125,
None,None,ACCT,501,002,COL,3.000,NULL,Financial Accounting III,TR,10:05 am-11:20 am,30,28,2,Ling Harris,01/09-04/24,DMSB 129,
None,None,ACCT,501,003,COL,3.000,NULL,Financial Accounting III,MW,08:05 am-09:20 am,30,30,0,Feng Yeo,01/09-04/24,DMSB 129,
None,None,ACCT,501,850,COL,3.000,NULL,Financial Accounting III,MW,11:15 am-02:00 pm,25,20,5,Ling Harris,03/13-04/24,DMSB 129,
None,None,ACCT,502,001,COL,3.000,NULL,Advanced Cost/Managerial Accounting,MW,02:20 pm-03:35 pm,30,30,0,Jason Tyler Rasso,01/09-04/24,DMSB 129,
None,None,ACCT,502,002,COL,3.000,NULL,Advanced Cost/Managerial Accounting,MW,03:55 pm-05:10 pm,30,26,4,Jason Tyler Rasso,01/09-04/24,DMSB 129,
None,None,ACCT,502,850,COL,3.000,NULL,Advanced Cost/Managerial Accounting,TR,08:30 am-11:15 am,25,15,10,Jason Tyler Rasso,03/13-04/24,DMSB 128,
None,None,ACCT,504,001,COL,3.000,NULL,Legal Issues for Accountants & Managers,TR,10:05 am-11:20 am,30,30,0,Justin Scott Byars,01/09-04/24,DMSB 125,
None,None,ACCT,504,002,COL,3.000,NULL,Legal Issues for Accountants & Managers,TR,01:15 pm-02:30 pm,30,16,14,Justin Scott Byars,01/09-04/24,DMSB 119,
None,None,ACCT,506,001,COL,3.000,NULL,International Financial Reporting,TR,04:25 pm-05:40 pm,40,39,1,Tao Ma,01/09-04/24,DMSB 142,GLD: Global Learning
None,None,ACCT,506,002,COL,3.000,NULL,International Financial Reporting,TR,02:50 pm-04:05 pm,30,30,0,Tao Ma,01/09-04/24,DMSB 120,GLD: Global Learning
None,None,ACCT,702,050,COL,3.000,NULL,Application of Advanced Databases to Accounting and Business,MTWRF,08:00 am-05:00 pm,48,21,27,Robert John Szymanski,01/30-02/24,DMSB 329,
None,None,ACCT,702,800,COL,3.000,NULL,Application of Advanced Databases to Accounting and Business,T,06:00 pm-09:00 pm,30,30,0,Robert John Szymanski,01/09-02/27,DMSB 119,
None,None,ACCT,728,050,COL,3.000,NULL,Financial Accounting,,None,48,21,27,Janice Hamrick Fergusson,01/30-02/24,None,
None,None,ACCT,728,M00,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,55,34,21,Robert Calvin Lipe,01/09-02/27,DMSB 324,
None,None,ACCT,728,M01,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,10,6,4,Robert Calvin Lipe,01/09-02/27,BUSEDU 237,
None,None,ACCT,728,M02,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,10,2,8,Robert Calvin Lipe,01/09-02/27,LIBR2 243,
None,None,ACCT,728,M03,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,25,12,13,Robert Calvin Lipe,01/09-02/27,151M 1,
None,None,ACCT,728,M04,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,25,24,1,Robert Calvin Lipe,01/09-02/27,BB&TCR 1,
None,None,ACCT,728,M05,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,25,13,12,Robert Calvin Lipe,01/09-02/27,201R 1,
None,None,ACCT,728,M06,COL,3.000,NULL,Financial Accounting,M,06:00 pm-09:00 pm,10,3,7,Robert Calvin Lipe,01/09-02/27,GEORGE 110,
None,None,ACCT,729,001,COL,3.000,NULL,Managerial Accounting,T,11:40 am-02:30 pm,44,36,8,Marlys Gascho Lipe,01/09-04/24,DMSB 111,
None,None,ACCT,729,M01,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,10,8,2,Robert Calvin Lipe,01/12-02/23,BUSEDU 237,
None,None,ACCT,729,M02,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,10,2,8,Robert Calvin Lipe,01/12-02/23,LIBR2 243,
None,None,ACCT,729,M03,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,25,17,8,Robert Calvin Lipe,01/12-02/23,151M 1,
None,None,ACCT,729,M04,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,25,15,10,Robert Calvin Lipe,01/12-02/23,BB&TCR 1,
None,None,ACCT,729,M05,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,25,16,9,Robert Calvin Lipe,01/12-02/23,201R 1,
None,None,ACCT,729,M06,COL,3.000,NULL,Managerial Accounting,R,06:00 pm-09:00 pm,25,9,16,Robert Calvin Lipe,01/12-02/23,GEORGE 110,
None,None,ACCT,729,M20,COL,3.000,NULL,Managerial Accounting,W,06:00 pm-09:00 pm,54,41,13,Robert Calvin Lipe,01/11-02/22,DMSB 133,
None,None,ACCT,732,001,COL,3.000,NULL,Auditing II,TR,08:30 am-09:45 am,44,23,21,Scott D. Vandervelde,01/09-04/24,DMSB 142,
None,None,ACCT,734,001,COL,3.000,NULL,Accounting Research and Communication,MW,09:40 am-10:55 am,44,31,13,Chad Matthew Stefaniak,01/09-04/24,DMSB 111,
None,None,ACCT,736,001,COL,3.000,NULL,"Information Technology Assurance, Control, and Security",MW,11:15 am-12:30 pm,44,24,20,Chad Matthew Stefaniak,01/09-04/24,DMSB 111,
None,None,ACCT,737,001,COL,3.000,NULL,Accounting Information Systems from a Strategic Perspective,MW,02:20 pm-03:35 pm,44,25,19,Timothy Lee Baker,01/09-04/24,DMSB 124,
None,None,ACCT,737,050,COL,3.000,NULL,Accounting Information Systems from a Strategic Perspective,,None,48,21,27,Mark Stephen Cecchini,01/30-02/24,None,
None,None,ACCT,739,050,COL,3.000,NULL,Enterprise Resource Planning,,None,48,21,27,Robert John Szymanski,01/30-02/24,None,
None,None,ACCT,739,850,COL,3.000,NULL,Enterprise Resource Planning,T,06:00 pm-09:00 pm,26,19,7,Robert John Szymanski,03/13-04/24,DMSB 119,
None,None,ACCT,741,M00,COL,3.000,NULL,Special Topics in Accounting,M,06:00 pm-09:00 pm,48,56,-8,Thomas Mazyck Hughes,01/09-02/27,DMSB 329,
None,None,ACCT,751,001,COL,3.000,NULL,Business Entity Tax Issue,MW,03:55 pm-05:10 pm,56,45,11,Donna Bobek Schmitt,01/09-04/24,DMSB 135,
None,None,ACCT,752,001,COL,3.000,NULL,Advanced Business Entity Tax Issues,TR,08:30 am-09:45 am,30,28,2,Chelsea Rae Austin,01/09-04/24,DMSB 119,
None,None,ACCT,753,001,COL,3.000,NULL,Advanced Individual Tax Issues,MW,08:05 am-09:20 am,44,28,16,Julius David Johnson,01/09-04/24,DMSB 105,
None,None,ACCT,754,001,COL,3.000,NULL,Multijurisdictional Tax Issues,MW,12:45 pm-02:00 pm,44,28,16,Donna Bobek Schmitt,01/09-04/24,DMSB 103,
None,None,ACCT,834,001,COL,3.000,NULL,Doctoral Seminar in Managerial Accounting,W,08:30 am-11:30 am,8,2,6,Andrew Henry Newman,01/09-04/24,DMSB 410F,
None,None,ACCT,A321,001,AIK,3.000,NULL,Federal Tax Procedures,TR,08:00 am-09:15 am,25,31,-6,Lindsay Foreman Griswold,01/09-04/24,BUSEDU 234,
None,None,ACCT,A332,001,AIK,3.000,NULL,Financial Accounting II,MW,02:30 pm-03:45 pm,20,18,2,Patsy Granger Lewellyn,01/09-04/24,BUSEDU 234,
None,None,ACCT,A336,001,AIK,3.000,NULL,Managerial Accounting II,MW,01:00 pm-02:15 pm,20,19,1,David Shelby Harrison,01/09-04/24,BUSEDU 234,
None,None,ACCT,A338,001,AIK,3.000,NULL,Financial Statement Analysis,TR,01:40 pm-02:55 pm,10,7,3,Robert T. Leach,01/09-04/24,BUSEDU 140,
None,None,ACCT,A437,001,AIK,3.000,NULL,Advanced Accounting,TR,09:25 am-10:40 am,25,0,25,None,01/09-04/24,BUSEDU 234,
None,None,ACCT,A439,001,AIK,3.000,NULL,Accounting Information Systems,MW,09:25 am-10:40 am,25,18,7,Patsy Granger Lewellyn,01/09-04/24,BUSEDU 238E,
None,None,ACCT,A439,001,AIK,3.000,NULL,Accounting Information Systems,MW,09:26 am-10:41 am,25,18,7,Patsy Granger Lewellyn,01/09-04/24,BUSEDU 234,
None,None,ACCT,B225,001,BFT,3.000,NULL,Fundamentals of Accounting I,TR,01:40 pm-02:55 pm,40,39,1,Virginia G Crews,01/09-04/24,LIBR2 267,
