SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,TITLE,CAMPUS,AUDIT,A,A_GF,B,B_GF,B+,B+_GF,C,C_GF,C+,C+_GF,D,D_GF,D+,D+_GF,F,F_GF,FN,Incomplete,IP,No Grade,NR,S,T,U,UN,W,WF,Num Grades Posted
MGMT,A473,001,Mgmt & Operations of Small Bus,AIK,0,0,0,9,0,0,0,5,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
MGMT,A473,PC,Mgmt & Operations of Small Bus,AIK,0,20,0,6,0,5,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,42
MGMT,A475,001,Operation & Supply Chain Mgmt,AIK,0,8,0,15,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
MGMT,A475,300,Operation & Supply Chain Mgmt,AIK,0,9,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
MGMT,A475,61Z,Operation & Supply Chain Mgmt,AIK,0,3,0,6,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
MGMT,A475,PC,Operation & Supply Chain Mgmt,AIK,0,8,0,3,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
MGMT,A477,61Z,Organization Theory,AIK,0,7,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
MGMT,A477,PC,Organization Theory,AIK,0,11,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,21
MGMT,A726,300,Human Resource Mgt.,AIK,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
MKTG,A452,001,International Marketing,AIK,0,6,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
MKTG,A454,001,Promotn Strategies & Advrtsng,AIK,0,6,0,5,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
MUSC,A135,001,Group Piano,AIK,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
MUSC,A143,001,Guitar I,AIK,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
MUSC,A173,001,Introduction to Music,AIK,0,11,0,9,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
MUSC,A173,002,Introduction to Music,AIK,0,5,0,14,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,27
MUSC,A173,003,Introduction to Music,AIK,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27
MUSC,A173,004,Introduction to Music,AIK,0,7,0,7,0,4,0,1,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,27
MUSC,A173,061,Introduction to Music,AIK,0,15,0,4,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25
MUSC,A175,001,World Music,AIK,0,12,0,0,0,4,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,26
MUSC,A175,002,World Music,AIK,0,18,0,3,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
MUSC,A175,004,World Music,AIK,0,9,0,8,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,27
MUSC,A175,005,World Music,AIK,0,12,0,2,0,4,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,28
MUSC,A175,006,World Music,AIK,0,13,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,28
MUSC,A175,007,World Music,AIK,0,15,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28
MUSC,A175,008,World Music,AIK,0,14,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
MUSC,A175,300,World Music,AIK,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28
MUSC,A175,301,World Music,AIK,0,22,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
MUSC,A184,300,USCA Wind Ensemble,AIK,0,14,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
